City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Bathsheba,BB,2022-04-05 00:39:07,13.2167,-59.5167,79.41,69,20,17.27
110,Pangnirtung,CA,2022-04-05 00:39:08,66.1451,-65.7125,5.2,97,100,3.44
111,Pevek,RU,2022-04-05 00:39:08,69.7008,170.3133,-8.88,92,69,3.89
112,Charters Towers,AU,2022-04-05 00:36:10,-20.1,146.2667,85.53,50,19,5.77
113,Udachnyy,RU,2022-04-05 00:39:09,66.4167,112.4,3.45,77,100,4.25
114,Lashio,MM,2022-04-05 00:39:09,22.9333,97.75,70.14,68,75,1.23
115,Tiksi,RU,2022-04-05 00:39:09,71.6872,128.8694,-4.52,99,100,4.5
116,Nikolskoye,RU,2022-04-05 00:39:10,59.7035,30.7861,33.8,97,100,12.48
117,Tandur,IN,2022-04-05 00:39:10,17.2333,77.5833,80.13,45,59,4.05
118,Aklavik,CA,2022-04-05 00:39:11,68.2191,-135.0107,-7.6,81,100,6.69
119,Cedar City,US,2022-04-05 00:39:11,37.6775,-113.0619,61.77,23,20,14.97
120,Katsuura,JP,2022-04-05 00:39:11,35.1333,140.3,55.42,90,99,23.47
121,Maniitsoq,GL,2022-04-05 00:39:12,65.4167,-52.9,24.75,84,54,2.44
122,Ribeira Grande,PT,2022-04-05 00:39:12,38.5167,-28.7,60.22,74,26,7.31
123,New Norfolk,AU,2022-04-05 00:39:12,-42.7826,147.0587,61.66,61,100,1.01
124,Skjervoy,NO,2022-04-05 00:39:13,70.0311,20.9714,26.01,63,33,9.91
125,Vikarabad,IN,2022-04-05 00:39:13,17.3333,77.9,76.71,49,33,5.95
126,Wajima,JP,2022-04-05 00:39:14,37.4,136.9,50.68,87,75,5.75
127,Aripuana,BR,2022-04-05 00:39:14,-9.1667,-60.6333,73.85,98,100,1.23
128,Tokmak,UA,2022-04-05 00:39:14,47.2514,35.7058,36.48,59,99,6.67
129,Bumba,CD,2022-04-05 00:39:15,2.1833,22.4667,71.76,93,100,1.39
130,Mahon,ES,2022-04-05 00:39:15,39.8885,4.2658,50.56,71,40,12.66
131,Kolosovka,RU,2022-04-05 00:39:15,56.4678,73.611,37.83,84,100,12.53
132,Mandera,KE,2022-04-05 00:39:16,3.9366,41.867,82.58,57,3,15.7
133,Ponto Novo,BR,2022-04-05 00:39:16,-10.8628,-40.1336,72.72,75,6,6.06
134,Carnarvon,AU,2022-04-05 00:39:16,-24.8667,113.6333,73.47,83,0,14.97
135,Jamestown,US,2022-04-05 00:38:20,42.097,-79.2353,42.44,49,100,5.75
136,Francistown,BW,2022-04-05 00:39:17,-21.17,27.5079,65.82,83,5,5.03
137,Stryn,NO,2022-04-05 00:39:17,61.9045,6.7226,30.15,97,100,3.27
138,Tiznit,MA,2022-04-05 00:39:18,29.5833,-9.5,50.81,80,80,10.69
139,Margate,GB,2022-04-05 00:39:18,51.3813,1.3862,53.69,79,100,7.0
140,Najran,SA,2022-04-05 00:40:19,17.4924,44.1277,65.05,12,0,2.62
141,Faanui,PF,2022-04-05 00:40:19,-16.4833,-151.75,82.96,73,8,16.42
142,Hobart,AU,2022-04-05 00:37:22,-42.8794,147.3294,62.02,62,75,12.66
143,Camana,PE,2022-04-05 00:40:19,-16.6228,-72.7111,69.28,83,81,3.85
